ID,Phylum
HASV5164,Firmicutes
HASV5221,Firmicutes
HASV5245,Firmicutes
HASV5273,Firmicutes
HASV5345,Firmicutes
HASV5364,Firmicutes
HASV5388,Firmicutes
HASV5407,Firmicutes
HASV5479,Firmicutes
HASV5485,Firmicutes
HASV5555,Firmicutes
HASV5568,Firmicutes
HASV5660,Firmicutes
HASV5702,Firmicutes
HASV5741,Firmicutes
HASV5844,Firmicutes
HASV5845,Firmicutes
HASV5870,Firmicutes
HASV6127,Firmicutes
HASV6159,Firmicutes
HASV6176,Firmicutes
HASV6195,Firmicutes
HASV6383,Firmicutes
HASV6582,Firmicutes
HASV6822,Firmicutes
HASV7100,Firmicutes
HASV7139,Firmicutes
HASV7153,Firmicutes
HASV7209,Firmicutes
HASV7422,Firmicutes
HASV8140,Firmicutes
HASV8405,Firmicutes
HASV8434,Firmicutes
HASV9496,Firmicutes
HASV9992,Firmicutes
MASV16,Firmicutes
MASV17,Firmicutes
MASV36,Firmicutes
MASV53,Firmicutes
MASV374,Firmicutes
MASV3434,Firmicutes
MASV208,Firmicutes
MASV234,Firmicutes
MASV289,Firmicutes
MASV677,Firmicutes
MASV382,Firmicutes
MASV3460,Firmicutes
MASV3508,Firmicutes
MASV325,Firmicutes
MASV3489,Firmicutes
MASV350,Firmicutes
MASV309,Firmicutes
MASV287,Firmicutes
MASV332,Firmicutes
MASV527,Firmicutes
MASV448,Firmicutes
MASV1132,Firmicutes
MASV3552,Firmicutes
MASV3502,Firmicutes
MASV3701,Firmicutes
MASV3556,Firmicutes
MASV902,Firmicutes
MASV1298,Firmicutes
MASV1186,Firmicutes
MASV403,Firmicutes
MASV839,Firmicutes
MASV4764,Firmicutes
MASV3524,Firmicutes
MASV921,Firmicutes
MASV1439,Firmicutes
MASV498,Firmicutes
MASV3600,Firmicutes
MASV3766,Firmicutes
MASV607,Firmicutes
MASV4985,Firmicutes
MASV1382,Firmicutes
MASV3712,Firmicutes
MASV552,Firmicutes
MASV3546,Firmicutes
MASV958,Firmicutes
MASV1109,Firmicutes
MASV4530,Firmicutes
MASV4781,Firmicutes
MASV705,Firmicutes
MASV700,Firmicutes
MASV767,Firmicutes
MASV3975,Firmicutes
MASV795,Firmicutes
MASV3636,Firmicutes
MASV5356,Firmicutes
MASV712,Firmicutes
MASV1689,Firmicutes
MASV894,Firmicutes
MASV897,Firmicutes
MASV1143,Firmicutes
MASV4947,Firmicutes
MASV6103,Firmicutes
MASV1122,Firmicutes
MASV6086,Firmicutes
MASV9531,Firmicutes
MASV5407,Firmicutes
MASV7186,Firmicutes
MASV1564,Firmicutes
MASV3943,Firmicutes
MASV5081,Firmicutes
MASV1306,Firmicutes
MASV6081,Firmicutes
MASV1299,Firmicutes
MASV6177,Firmicutes
MASV1318,Firmicutes
MASV1718,Firmicutes
MASV1876,Firmicutes
MASV5480,Firmicutes
MASV1459,Firmicutes
MASV4291,Firmicutes
MASV3782,Firmicutes
MASV4281,Firmicutes
MASV5856,Firmicutes
MASV1967,Firmicutes
MASV4674,Firmicutes
MASV7538,Firmicutes
MASV8930,Firmicutes
MASV4552,Firmicutes
MASV8397,Firmicutes
MASV10061,Firmicutes
MASV2242,Firmicutes
MASV5260,Firmicutes
MASV5542,Firmicutes
