ID,rrn ,ave,group
604,3.07,7.36323E-05,soybean
605,3.07,4.90882E-05,soybean
606,3.07,3.68161E-05,soybean
607,3.07,3.68161E-05,soybean
608,3.07,3.68161E-05,soybean
609,3.07,1.2272E-05,soybean
610,3,0.059323074,soybean
611,3,0.006013303,soybean
612,3,0.005546965,soybean
613,3,0.002663034,soybean
614,3,0.002564858,soybean
615,3,0.002319417,soybean
616,3,0.00222124,soybean
617,3,0.002123064,soybean
618,3,0.001644454,soybean
619,3,0.001288565,soybean
620,3,0.001251749,soybean
621,3,0.001104484,soybean
622,3,0.001092212,soybean
623,3,0.001030852,soybean
624,3,0.000908131,soybean
625,3,0.000883587,soybean
626,3,0.000797683,soybean
627,3,0.000797683,soybean
628,3,0.000674963,soybean
629,3,0.000638146,soybean
630,3,0.000576786,soybean
631,3,0.000576786,soybean
632,3,0.000552242,soybean
633,3,0.00053997,soybean
634,3,0.000515426,soybean
635,3,0.000503154,soybean
636,3,0.000503154,soybean
637,3,0.000490882,soybean
638,3,0.00047861,soybean
639,3,0.000466338,soybean
640,3,0.000454066,soybean
641,3,0.000429522,soybean
642,3,0.00041725,soybean
643,3,0.000392705,soybean
644,3,0.000380433,soybean
645,3,0.000368161,soybean
646,3,0.000355889,soybean
647,3,0.000355889,soybean
648,3,0.000331345,soybean
649,3,0.000294529,soybean
650,3,0.000294529,soybean
651,3,0.000282257,soybean
652,3,0.000282257,soybean
653,3,0.000257713,soybean
654,3,0.000245441,soybean
655,3,0.000220897,soybean
656,3,0.000220897,soybean
657,3,0.000220897,soybean
658,3,0.000208625,soybean
659,3,0.000208625,soybean
660,3,0.000196353,soybean
661,3,0.000196353,soybean
662,3,0.000184081,soybean
663,3,0.000159537,soybean
664,3,0.000159537,soybean
665,3,0.000159537,soybean
666,3,0.000147265,soybean
667,3,0.000147265,soybean
668,3,0.000134993,soybean
669,3,0.000134993,soybean
670,3,0.00012272,soybean
671,3,0.00012272,soybean
672,3,0.00012272,soybean
673,3,0.00012272,soybean
674,3,0.000110448,soybean
675,3,0.000110448,soybean
676,3,0.000110448,soybean
677,3,9.81764E-05,soybean
678,3,9.81764E-05,soybean
679,3,9.81764E-05,soybean
680,3,9.81764E-05,soybean
681,3,9.81764E-05,soybean
682,3,9.81764E-05,soybean
683,3,8.59043E-05,soybean
684,3,8.59043E-05,soybean
685,3,8.59043E-05,soybean
686,3,8.59043E-05,soybean
687,3,8.59043E-05,soybean
688,3,8.59043E-05,soybean
689,3,8.59043E-05,soybean
690,3,7.36323E-05,soybean
691,3,7.36323E-05,soybean
692,3,7.36323E-05,soybean
693,3,6.13602E-05,soybean
694,3,6.13602E-05,soybean
695,3,6.13602E-05,soybean
696,3,6.13602E-05,soybean
697,3,6.13602E-05,soybean
698,3,6.13602E-05,soybean
699,3,6.13602E-05,soybean
700,3,4.90882E-05,soybean
701,3,4.90882E-05,soybean
702,3,4.90882E-05,soybean
703,3,4.90882E-05,soybean
704,3,4.90882E-05,soybean
705,3,4.90882E-05,soybean
706,3,4.90882E-05,soybean
707,3,4.90882E-05,soybean
708,3,4.90882E-05,soybean
709,3,4.90882E-05,soybean
710,3,4.90882E-05,soybean
711,3,4.90882E-05,soybean
712,3,3.68161E-05,soybean
713,3,3.68161E-05,soybean
714,3,3.68161E-05,soybean
715,3,3.68161E-05,soybean
716,3,3.68161E-05,soybean
717,3,3.68161E-05,soybean
718,3,3.68161E-05,soybean
719,3,3.68161E-05,soybean
720,3,3.68161E-05,soybean
721,3,3.68161E-05,soybean
722,3,3.68161E-05,soybean
723,3,3.68161E-05,soybean
724,3,3.68161E-05,soybean
725,3,3.68161E-05,soybean
726,3,3.68161E-05,soybean
727,3,3.68161E-05,soybean
728,3,3.68161E-05,soybean
729,3,3.68161E-05,soybean
730,3,2.45441E-05,soybean
731,3,2.45441E-05,soybean
732,3,2.45441E-05,soybean
733,3,2.45441E-05,soybean
734,3,2.45441E-05,soybean
735,3,2.45441E-05,soybean
736,3,2.45441E-05,soybean
737,3,2.45441E-05,soybean
738,3,2.45441E-05,soybean
739,3,1.2272E-05,soybean
740,3,1.2272E-05,soybean
741,2.95,0.004037503,soybean
742,2.95,0.003963871,soybean
743,2.95,0.003141644,soybean
744,2.95,0.002589402,soybean
745,2.95,0.002258057,soybean
746,2.95,0.002233513,soybean
747,2.95,0.001803991,soybean
748,2.95,0.001423557,soybean
749,2.95,0.001399013,soybean
750,2.95,0.000883587,soybean
751,2.95,0.000687235,soybean
752,2.95,0.000613602,soybean
753,2.95,0.000613602,soybean
754,2.95,0.00053997,soybean
755,2.95,0.000503154,soybean
756,2.95,0.000343617,soybean
757,2.95,0.000343617,soybean
758,2.95,0.000282257,soybean
759,2.95,0.000269985,soybean
760,2.95,0.000245441,soybean
761,2.95,0.000245441,soybean
762,2.95,0.000196353,soybean
763,2.95,0.000196353,soybean
764,2.95,0.000159537,soybean
765,2.95,0.000159537,soybean
766,2.95,0.000110448,soybean
767,2.95,7.36323E-05,soybean
768,2.95,7.36323E-05,soybean
769,2.95,7.36323E-05,soybean
770,2.95,7.36323E-05,soybean
771,2.95,7.36323E-05,soybean
772,2.95,6.13602E-05,soybean
773,2.95,6.13602E-05,soybean
774,2.95,6.13602E-05,soybean
775,2.95,4.90882E-05,soybean
776,2.95,4.90882E-05,soybean
777,2.95,4.90882E-05,soybean
778,2.95,4.90882E-05,soybean
779,2.95,3.68161E-05,soybean
780,2.95,3.68161E-05,soybean
781,2.95,3.68161E-05,soybean
782,2.95,3.68161E-05,soybean
