#OTU ID,Y,Y20,Y20G,Y4,Y80,Y80G,taxonomy,rrn,rarity group
ASV_216,14,104,0,1,54,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Promicromonospora,2.5,MT
ASV_217,128,1,0,308,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,#N/A,#N/A
ASV_218,21,7,0,9,144,3,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus_sp._BAB-2951,1.67,CRT
ASV_219,5,22,0,2,111,32,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,2,CRT
ASV_22,0,0,0,1877,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,1.18,CRT
ASV_220,0,154,0,1,0,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Variibacter,3.07,MT
ASV_221,200,22,0,0,0,2,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus,10.65,MT
ASV_222,31,141,0,72,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae,1.67,CRT
ASV_223,46,9,0,233,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces,10.65,CAT
ASV_224,2,106,0,178,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,10.65,CRT
ASV_225,303,15,0,8,0,0,k__Bacteria,#N/A,#N/A
ASV_226,110,0,0,24,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,2.5,CRT
ASV_227,222,11,0,1,1,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae,#N/A,#N/A
ASV_228,18,15,0,1,158,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,#N/A,#N/A
ASV_229,0,10,0,4,165,12,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Intrasporangiaceae;g__Phycicoccus,#N/A,#N/A
ASV_23,335,1,7,1710,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas,2.5,MT
ASV_230,12,131,1,0,0,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium,#N/A,#N/A
ASV_231,40,54,0,9,48,0,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Ensifer,10.65,MT
ASV_232,268,0,0,0,0,0,k__Bacteria,#N/A,#N/A
ASV_233,1,37,0,0,268,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Agromyces,10.86,MT
ASV_234,17,77,0,88,0,0,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae,#N/A,#N/A
ASV_235,1,63,0,0,107,0,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales,5.01,CRT
ASV_236,182,1,0,5,0,0,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter,6,CRT
